s,x,y,z,tx,ty,tz,area,coverage,width,height,eta,d_eq,z_floor,z_ceil,n_pts
0.0000,1374.8561,587.8216,235.3285,0.0145,0.9917,-0.1280,4.7525,0.9861,7.9909,6.6176,3.4464,2.4599,232.5944,239.2085,4349
1.0000,1374.8638,588.8699,235.1966,0.0000,0.9926,-0.1216,8.3286,0.9722,7.8351,6.3718,4.9695,3.2564,232.0635,238.7717,5937
2.0000,1374.8565,589.8778,235.0765,-0.0146,0.9933,-0.1149,10.5196,0.8333,7.8332,6.2022,4.7408,3.6598,231.7053,238.9329,5743
3.0000,1374.8352,590.8473,234.9679,-0.0292,0.9938,-0.1077,16.6872,0.8472,7.9630,6.5304,3.3039,4.6094,231.5403,238.6219,5636
4.0000,1374.8010,591.7803,234.8703,-0.0437,0.9940,-0.1001,20.6708,0.9861,8.3245,6.9997,2.5439,5.1302,231.0354,238.4365,7216
5.0000,1374.7551,592.6788,234.7833,-0.0579,0.9941,-0.0922,25.8450,1.0000,8.6146,7.0390,1.9646,5.7364,230.9233,238.1198,8335
6.0000,1374.6986,593.5446,234.7065,-0.0718,0.9939,-0.0840,28.6925,1.0000,8.1319,7.1202,1.7853,6.0442,230.6675,238.0264,8610
7.0000,1374.6326,594.3798,234.6395,-0.0852,0.9935,-0.0754,32.4176,1.0000,8.2067,7.3611,1.9743,6.4246,230.3541,238.0580,8828
8.0000,1374.5583,595.1863,234.5819,-0.0978,0.9930,-0.0665,33.8211,0.9722,8.2717,8.0808,2.0878,6.5622,229.6286,238.3044,9349
9.0000,1374.4768,595.9659,234.5332,-0.1097,0.9923,-0.0573,35.0053,0.9722,8.5050,8.2858,2.1150,6.6761,229.4678,238.2539,9443
10.0000,1374.3891,596.7207,234.4931,-0.1205,0.9916,-0.0480,36.2390,1.0000,8.9420,8.2818,2.1536,6.7927,229.4246,238.0791,8645
11.0000,1374.2966,597.4526,234.4611,-0.1301,0.9908,-0.0386,34.3197,1.0000,9.1363,8.0646,2.3063,6.6104,229.4367,237.7208,8463
12.0000,1374.2002,598.1635,234.4368,-0.1383,0.9900,-0.0290,36.5082,1.0000,9.3350,7.9031,2.1771,6.8179,229.3860,237.4066,8990
13.0000,1374.1010,598.8553,234.4199,-0.1450,0.9892,-0.0195,37.9607,0.9722,9.5901,7.8815,1.9360,6.9522,229.3636,237.3887,9674
14.0000,1374.0004,599.5300,234.4098,-0.1499,0.9887,-0.0100,41.0993,0.9861,9.8772,7.9855,1.7283,7.2339,229.2606,237.5009,10291
15.0000,1373.8992,600.1896,234.4062,-0.1529,0.9882,-0.0008,43.7628,0.9861,11.1103,8.2789,1.7107,7.4646,229.2934,238.0391,11140
16.0000,1373.7988,600.8359,234.4086,-0.1539,0.9881,0.0082,48.8966,1.0000,11.6749,8.4122,1.6955,7.8903,229.4299,238.0775,11628
17.0000,1373.7001,601.4709,234.4167,-0.1527,0.9881,0.0169,53.2653,1.0000,11.8317,8.4616,1.6593,8.2353,229.5182,238.2181,12418
18.0000,1373.6044,602.0966,234.4300,-0.1493,0.9885,0.0251,59.2394,1.0000,12.2004,8.1633,1.6756,8.6848,229.8965,238.4248,13295
19.0000,1373.5127,602.7149,234.4482,-0.1435,0.9891,0.0328,62.6716,1.0000,12.8611,7.9780,1.7400,8.9329,230.2099,238.4629,14409
20.0000,1373.4262,603.3276,234.4707,-0.1354,0.9900,0.0399,66.0992,1.0000,13.1692,8.3058,1.7716,9.1739,230.1347,238.6743,15124
21.0000,1373.3461,603.9369,234.4972,-0.1249,0.9911,0.0462,70.6876,1.0000,13.5707,8.7511,1.8281,9.4870,229.8926,238.9133,14917
22.0000,1373.2734,604.5445,234.5273,-0.1121,0.9923,0.0518,74.0532,1.0000,13.8131,9.1441,1.9332,9.7102,229.6264,238.9393,14423
23.0000,1373.2092,605.1525,234.5605,-0.0971,0.9937,0.0566,75.8549,1.0000,13.9711,9.5898,1.9925,9.8276,229.2265,238.9711,14336
24.0000,1373.1548,605.7627,234.5965,-0.0800,0.9950,0.0605,77.9913,1.0000,13.8492,10.1165,1.9563,9.9650,228.7521,239.1620,14887
25.0000,1373.1112,606.3771,234.6348,-0.0611,0.9961,0.0635,79.3509,1.0000,14.0148,10.5518,1.9582,10.0515,228.4532,239.3200,14693
