s,x,y,z,tx,ty,tz
0.0,1374.3335,585.5050,229.9316,0.3324,0.8525,-0.4035
1.0,1374.6762,586.4436,229.5107,0.2991,0.8786,-0.3722
2.0,1374.9693,587.3701,229.1407,0.2641,0.9031,-0.3387
3.0,1375.2155,588.2848,228.8193,0.2278,0.9253,-0.3032
4.0,1375.4178,589.1880,228.5442,0.1907,0.9449,-0.2661
5.0,1375.5787,590.0800,228.3129,0.1532,0.9616,-0.2278
6.0,1375.7011,590.9612,228.1233,0.1159,0.9751,-0.1888
7.0,1375.7878,591.8318,227.9730,0.0793,0.9855,-0.1498
8.0,1375.8414,592.6921,227.8595,0.0441,0.9928,-0.1111
9.0,1375.8648,593.5424,227.7807,0.0108,0.9972,-0.0735
10.0,1375.8606,594.3831,227.7341,-0.0203,0.9991,-0.0373
11.0,1375.8317,595.2143,227.7175,-0.0488,0.9988,-0.0030
12.0,1375.7808,596.0365,227.7285,-0.0743,0.9968,0.0292
13.0,1375.7106,596.8499,227.7647,-0.0968,0.9935,0.0591
14.0,1375.6240,597.6547,227.8239,-0.1161,0.9895,0.0863
15.0,1375.5237,598.4514,227.9037,-0.1321,0.9850,0.1110
16.0,1375.4123,599.2402,228.0017,-0.1448,0.9805,0.1329
17.0,1375.2928,600.0214,228.1157,-0.1541,0.9763,0.1522
18.0,1375.1678,600.7952,228.2434,-0.1601,0.9726,0.1687
19.0,1375.0401,601.5621,228.3823,-0.1627,0.9696,0.1826
20.0,1374.9124,602.3223,228.5301,-0.1620,0.9676,0.1937
21.0,1374.7876,603.0760,228.6846,-0.1578,0.9666,0.2022
22.0,1374.6683,603.8237,228.8434,-0.1500,0.9666,0.2078
23.0,1374.5574,604.5655,229.0041,-0.1386,0.9677,0.2107
24.0,1374.4575,605.3018,229.1644,-0.1235,0.9697,0.2107
25.0,1374.3714,606.0329,229.3220,-0.1044,0.9726,0.2076
26.0,1374.3020,606.7591,229.4746,-0.0812,0.9761,0.2013
27.0,1374.2519,607.4806,229.6199,-0.0538,0.9800,0.1918
28.0,1374.2239,608.1978,229.7554,-0.0221,0.9837,0.1787
29.0,1374.2207,608.9110,229.8789,0.0140,0.9867,0.1620
30.0,1374.2439,609.6205,229.9888,0.0502,0.9883,0.1443
31.0,1374.2921,610.3263,230.0857,0.0843,0.9883,0.1271
32.0,1374.3634,611.0287,230.1702,0.1160,0.9871,0.1106
33.0,1374.4562,611.7277,230.2430,0.1452,0.9848,0.0948
34.0,1374.5685,612.4236,230.3047,0.1719,0.9819,0.0799
35.0,1374.6988,613.1165,230.3562,0.1961,0.9784,0.0658
36.0,1374.8451,613.8065,230.3980,0.2176,0.9746,0.0527
37.0,1375.0057,614.4938,230.4308,0.2366,0.9708,0.0405
38.0,1375.1788,615.1785,230.4554,0.2530,0.9670,0.0293
39.0,1375.3627,615.8608,230.4725,0.2669,0.9635,0.0191
40.0,1375.5556,616.5408,230.4827,0.2783,0.9604,0.0099
41.0,1375.7556,617.2186,230.4867,0.2874,0.9578,0.0016
42.0,1375.9611,617.8945,230.4852,0.2940,0.9558,-0.0057
43.0,1376.1702,618.5686,230.4789,0.2982,0.9544,-0.0120
